plot_id,date,season,district,crop_id,variety,soil_texture,lab_ph,nitrogen,phosphorus,potassium,ec_us_cm,moisture_vwc,yield_t_ha,fertilizer_applied
PLT-0504,2025-09-27,A,Kayonza,cassava,Gahene,loamy,6.85,17.5,15.9,24.2,225.6,32.0,6.59,None
PLT-0505,2024-12-14,B,Gasabo,soybean,Local,loamy,5.3,36.2,41.6,42.8,497.5,67.4,0.68,Manure
PLT-0506,2025-08-01,A,Gakenke,tea,Local,loamy,4.71,55.1,29.5,52.8,113.0,46.8,1.36,Manure
PLT-0507,2024-06-20,B,Nyanza,corn,Local,sandy,6.89,60.6,41.9,40.7,163.4,68.6,1.7,DAP+Urea
PLT-0508,2025-09-03,A,Ngoma,sorghum,Local,loamy,6.87,50.5,39.3,47.4,124.8,33.4,1.2,NPK+Manure
PLT-0509,2026-02-09,B,Gisagara,beans,Bush,sandy,6.23,39.6,43.3,44.4,150.9,61.9,0.66,DAP+Urea
PLT-0510,2026-12-09,A,Kirehe,sunflower,Local,sandy,6.21,44.1,38.3,41.8,314.7,69.6,1.13,DAP+Urea
PLT-0511,2024-11-08,B,Nyanza,corn,Local,loamy,7.17,77.3,56.8,57.5,266.7,58.9,2.57,NPK 17-17-17
PLT-0512,2024-06-27,A,Ngororero,irish_potatoes,Kirundo,loamy,6.47,93.3,91.4,130.5,404.0,62.8,8.32,DAP+Urea
PLT-0513,2026-01-12,A,Rwamagana,cotton,Improved,clayey,6.65,62.1,43.9,33.6,510.2,34.1,0.86,DAP+Urea
PLT-0514,2025-05-19,B,Gakenke,barley,Improved,sandy,5.57,34.4,22.1,13.4,151.9,56.9,0.37,None
PLT-0515,2024-06-04,A,Gicumbi,wheat,Improved,loamy,6.79,47.8,42.8,27.4,311.3,47.9,1.18,Urea
PLT-0516,2026-05-03,C,Gakenke,sweet_potato,Local,sandy,6.07,42.7,46.8,77.8,322.2,68.0,7.54,DAP+Urea
PLT-0517,2025-06-08,C,Karongi,coffee,Improved,loamy,6.71,48.0,28.6,51.1,279.6,65.5,0.55,Urea
PLT-0518,2025-12-06,A,Gisagara,banana,Improved,clayey,5.4,72.5,25.3,139.6,113.3,48.1,5.94,DAP+Urea
PLT-0519,2025-03-05,C,Kamonyi,soybean,Local,loamy,6.36,34.2,37.9,46.8,241.1,48.5,0.8,Urea
PLT-0520,2026-02-27,A,Kayonza,groundnut,Improved,loamy,7.42,20.8,30.8,37.3,554.1,58.0,0.54,Urea
PLT-0521,2025-05-24,A,Gasabo,sweet_potato,Improved,loamy,6.52,36.3,45.5,94.4,598.4,42.4,7.56,DAP+Urea
PLT-0522,2026-05-20,C,Kayonza,soybean,Local,clayey,5.83,29.9,40.5,45.6,165.1,61.1,0.93,DAP+Urea
PLT-0523,2024-02-17,B,Muhanga,banana,Improved,clayey,6.19,51.2,27.2,126.8,206.0,40.5,6.22,Urea
PLT-0524,2024-05-28,B,Ngoma,cotton,Local,alluvial,7.54,78.0,53.1,50.3,364.9,47.5,1.02,DAP+Urea
PLT-0525,2025-09-15,C,Gasabo,rice,Zhongeng,clayey,6.81,54.3,24.5,37.8,278.5,61.0,2.78,Manure
PLT-0526,2026-03-11,C,Musanze,irish_potatoes,Cruza,clayey,4.71,71.2,68.4,77.3,463.7,34.5,5.5,Manure
PLT-0527,2024-11-24,A,Gatsibo,corn,Hybrid WH,clayey,6.28,31.2,22.1,21.7,203.4,60.2,0.9,None
PLT-0528,2024-03-01,A,Bugesera,corn,Hybrid WH,clayey,5.76,62.4,31.4,41.0,207.8,64.9,1.68,DAP+Urea
PLT-0529,2024-03-26,A,Gakenke,tomatoes,Local,loamy,6.09,86.9,67.4,92.5,430.9,44.8,15.17,NPK+Manure
PLT-0530,2026-07-06,A,Nyamagabe,sugarcane,Local,clayey,7.89,28.9,19.9,33.9,237.1,44.3,13.97,None
PLT-0531,2025-04-07,B,Rwamagana,cassava,Ndamirabana,sandy,4.78,15.2,11.5,33.3,525.7,42.2,4.36,None
PLT-0532,2025-11-26,B,Nyamagabe,cassava,Gahene,loamy,5.73,46.9,30.2,90.1,440.4,68.6,16.94,DAP+Urea
PLT-0533,2026-01-07,C,Gasabo,sweet_potato,Improved,sandy,5.95,12.1,20.0,38.2,108.5,46.1,2.17,None
PLT-0534,2026-07-08,B,Gicumbi,tea,Improved,clayey,4.24,84.1,41.7,72.9,306.1,49.8,1.25,NPK 17-17-17
PLT-0535,2025-06-08,B,Nyabihu,irish_potatoes,Cruza,sandy,5.98,87.7,95.4,136.7,574.5,47.4,8.14,DAP+Urea
PLT-0536,2025-10-17,A,Rwamagana,cotton,Local,clayey,6.86,63.3,45.2,31.4,489.5,55.8,1.1,Manure
PLT-0537,2026-10-24,B,Rulindo,irish_potatoes,Cruza,clayey,6.67,78.7,54.5,72.5,137.0,63.9,5.66,DAP+Urea
PLT-0538,2026-03-12,A,Burera,pea,Local,loamy,7.32,25.9,32.2,26.0,374.2,32.6,0.63,Manure
PLT-0539,2026-03-04,A,Musanze,barley,Local,clayey,6.67,44.5,32.2,25.3,141.2,45.8,1.25,Manure
PLT-0540,2024-02-09,C,Musanze,sweet_potato,Local,sandy,6.6,36.0,31.6,64.5,276.4,61.5,5.29,DAP+Urea
PLT-0541,2025-02-05,C,Ruhango,tomatoes,Improved,clayey,6.48,32.5,29.3,39.5,364.9,32.4,5.53,None
PLT-0542,2024-09-21,C,Gatsibo,rice,Intsindagirabigega,clayey,5.76,55.8,26.6,32.3,475.9,36.6,2.57,Manure
PLT-0543,2026-02-15,B,Gakenke,corn,Hybrid WH,loamy,5.96,49.4,37.4,42.2,399.6,48.7,1.56,Manure
PLT-0544,2026-09-01,B,Rulindo,wheat,Local,sandy,5.94,57.1,47.0,38.0,360.6,45.0,0.92,Urea
PLT-0545,2024-10-02,C,Kicukiro,sweet_potato,Improved,loamy,6.74,36.5,40.6,95.8,440.6,68.6,6.94,NPK+Manure
PLT-0546,2026-01-21,B,Rwamagana,sunflower,Improved,sandy,6.31,57.6,57.6,45.0,428.4,35.8,1.58,DAP+Urea
PLT-0547,2025-07-09,A,Gisagara,corn,Local,sandy,5.02,24.9,20.9,29.9,593.4,39.3,0.57,None
PLT-0548,2024-05-03,A,Gakenke,barley,Improved,loamy,5.57,41.2,36.2,24.5,190.2,54.9,0.72,Manure
PLT-0549,2026-01-19,C,Musanze,tomatoes,Improved,sandy,5.4,48.8,53.2,65.7,383.9,67.2,6.06,Urea
PLT-0550,2024-08-14,A,Kayonza,groundnut,Improved,loamy,6.33,19.5,34.3,33.8,112.3,50.9,0.6,DAP+Urea
PLT-0551,2024-11-08,A,Gatsibo,sunflower,Local,loamy,6.07,53.7,45.0,52.0,149.4,51.5,1.51,NPK 17-17-17
PLT-0552,2026-04-19,B,Burera,pea,Improved,clayey,5.82,45.7,40.7,45.9,182.7,69.8,1.35,NPK 17-17-17
PLT-0553,2025-12-09,A,Nyanza,corn,Hybrid WH,clayey,7.26,94.3,58.5,46.4,238.9,30.6,2.12,NPK+Manure
PLT-0554,2025-04-28,A,Kirehe,sorghum,Improved,loamy,7.6,46.6,45.8,36.8,353.4,43.0,0.98,DAP+Urea
PLT-0555,2026-09-13,A,Nyabihu,irish_potatoes,Kirundo,clayey,6.34,81.8,79.5,131.1,392.9,60.1,7.76,NPK+Manure
PLT-0556,2025-04-14,A,Ngoma,sugarcane,Local,clayey,5.2,75.5,35.0,61.8,560.7,65.8,28.06,Urea
PLT-0557,2026-08-25,A,Rulindo,pea,Local,loamy,7.41,15.4,23.3,13.9,328.2,36.1,0.31,None
PLT-0558,2025-06-01,A,Ngoma,sugarcane,Improved,clayey,6.35,101.2,58.8,72.7,328.9,66.0,51.74,NPK 17-17-17
PLT-0559,2026-10-16,C,Ngoma,sweet_potato,Local,sandy,5.3,42.2,39.5,91.0,494.2,37.9,7.71,DAP+Urea
PLT-0560,2024-07-11,B,Ngororero,tea,Local,loamy,5.63,67.8,24.3,75.0,587.5,57.0,0.92,Manure
PLT-0561,2026-03-13,B,Ngoma,sorghum,Local,clayey,6.28,37.5,35.5,32.6,434.0,45.5,0.95,Urea
PLT-0562,2025-03-11,A,Rubavu,irish_potatoes,Kinigi,clayey,4.95,83.9,57.5,112.0,157.0,57.6,5.62,DAP+Urea
PLT-0563,2026-08-03,C,Gicumbi,tea,Local,loamy,5.29,48.7,31.7,63.7,267.6,62.0,0.99,Manure
PLT-0564,2025-11-23,C,Nyarugenge,rice,Zhongeng,alluvial,7.01,100.2,41.5,40.9,192.8,42.6,2.84,DAP+Urea
PLT-0565,2026-11-06,A,Gakenke,irish_potatoes,Kinigi,loamy,6.84,46.2,37.9,61.9,160.0,33.6,3.75,None
PLT-0566,2024-03-12,C,Ngoma,rice,Intsindagirabigega,loamy,5.72,61.9,36.8,35.8,195.5,55.6,3.0,Urea
PLT-0567,2024-09-12,B,Gisagara,banana,Improved,loamy,5.76,40.2,15.1,88.3,406.2,58.5,3.89,None
PLT-0568,2025-08-05,A,Rwamagana,sunflower,Improved,sandy,7.1,41.5,33.4,30.8,450.8,35.4,0.79,Urea
PLT-0569,2026-08-18,B,Kayonza,soybean,Local,loamy,5.16,26.9,39.1,37.4,581.0,37.1,0.5,Urea
PLT-0570,2024-01-19,C,Nyabihu,coffee,Local,loamy,5.02,47.7,33.1,55.4,460.8,52.7,0.49,Manure
PLT-0571,2024-03-10,B,Ngoma,sugarcane,Local,alluvial,6.35,42.4,17.7,26.3,525.7,43.0,23.56,None
PLT-0572,2024-07-28,C,Kamonyi,tomatoes,Local,clayey,7.48,75.0,52.2,59.8,378.2,33.8,6.94,Manure
PLT-0573,2026-01-26,B,Ruhango,soybean,Improved,clayey,5.95,37.6,32.3,31.8,229.2,56.4,0.77,Urea
PLT-0574,2025-04-20,B,Gicumbi,pea,Local,loamy,6.44,24.4,36.2,24.5,374.8,40.9,0.91,Manure
PLT-0575,2026-08-21,A,Kamonyi,corn,Hybrid WH,sandy,5.71,68.5,45.4,39.3,332.0,66.1,1.79,Urea
PLT-0576,2024-04-23,B,Nyamagabe,coffee,Local,clayey,6.78,48.9,24.7,65.2,511.4,63.0,0.53,DAP+Urea
PLT-0577,2025-08-22,A,Bugesera,cassava,Gahene,sandy,7.45,34.0,19.9,48.4,546.2,36.2,6.62,DAP+Urea
PLT-0578,2025-03-22,C,Nyarugenge,rice,Intsindagirabigega,alluvial,6.27,48.6,19.4,17.2,496.5,55.4,1.22,None
PLT-0579,2026-01-07,A,Nyarugenge,beans,Climbing,clayey,6.95,13.1,23.5,23.7,285.9,39.4,0.3,None
PLT-0580,2026-09-01,A,Gicumbi,tomatoes,Improved,loamy,5.81,50.8,46.7,52.1,541.6,31.6,8.29,Manure
PLT-0581,2026-10-24,A,Bugesera,sunflower,Improved,loamy,7.8,21.1,22.8,24.0,347.2,42.6,0.41,None
PLT-0582,2026-03-24,B,Gatsibo,cotton,Improved,clayey,7.66,74.0,52.3,55.2,310.1,33.2,1.17,NPK 17-17-17
PLT-0583,2026-10-12,A,Kayonza,cotton,Improved,clayey,7.77,43.4,47.0,37.0,539.8,64.6,0.86,Urea
PLT-0584,2025-07-28,B,Gicumbi,wheat,Local,loamy,5.5,52.6,33.6,33.1,445.2,47.9,1.08,DAP+Urea
PLT-0585,2026-03-21,C,Bugesera,rice,Zhongeng,loamy,6.95,94.3,40.4,44.9,560.4,46.7,4.52,NPK+Manure
PLT-0586,2026-06-23,B,Huye,sugarcane,Local,loamy,6.6,79.0,30.5,48.2,571.2,33.0,24.73,DAP+Urea
PLT-0587,2025-07-26,A,Ngoma,groundnut,Local,sandy,7.16,24.1,36.4,28.4,321.2,56.7,0.46,Urea
PLT-0588,2026-12-16,A,Ngoma,sorghum,Improved,clayey,5.83,57.0,38.5,43.0,418.3,50.7,1.54,NPK+Manure
PLT-0589,2025-11-10,B,Kirehe,sorghum,Improved,loamy,5.23,39.3,25.5,26.0,542.4,59.9,0.78,DAP+Urea
PLT-0590,2026-12-04,C,Huye,coffee,Improved,loamy,4.85,43.7,35.0,53.6,516.3,32.6,0.53,Manure
PLT-0591,2026-12-23,A,Gasabo,tomatoes,Improved,clayey,6.35,48.2,46.8,75.2,558.3,43.6,8.51,Manure
PLT-0592,2026-09-27,B,Rulindo,irish_potatoes,Kinigi,sandy,5.11,99.0,94.3,122.8,567.3,31.3,8.98,NPK+Manure
PLT-0593,2024-03-21,B,Ngoma,sunflower,Improved,sandy,7.58,38.4,43.7,38.3,150.6,53.6,0.84,DAP+Urea
PLT-0594,2024-02-22,B,Muhanga,beans,Mutiki,clayey,6.91,26.0,35.9,36.0,171.4,30.6,0.45,DAP+Urea
PLT-0595,2026-12-09,B,Ngoma,soybean,Improved,loamy,6.67,27.8,46.0,39.1,478.4,59.1,0.88,Manure
PLT-0596,2026-07-05,A,Kayonza,sorghum,Improved,sandy,5.19,48.5,47.6,36.7,170.4,41.3,1.08,DAP+Urea
PLT-0597,2025-06-09,B,Kirehe,sugarcane,Local,clayey,7.95,72.6,35.2,57.6,126.0,45.1,22.65,Manure
PLT-0598,2026-08-25,B,Gisagara,tomatoes,Improved,clayey,5.7,36.3,32.3,41.6,199.6,37.6,5.52,None
PLT-0599,2026-12-26,C,Gisagara,banana,Local,alluvial,5.35,27.8,17.0,88.3,281.9,67.1,2.72,None
PLT-0600,2025-01-19,A,Gicumbi,barley,Local,loamy,6.4,24.0,13.3,23.6,582.7,51.1,0.48,None
PLT-0601,2026-11-16,A,Gicumbi,wheat,Local,clayey,5.33,41.8,16.9,22.6,133.4,66.5,0.53,None
PLT-0602,2024-02-19,C,Kicukiro,tomatoes,Improved,sandy,6.96,49.6,41.4,64.4,381.2,69.5,10.95,Urea
PLT-0603,2024-08-19,A,Karongi,corn,Kigega,clayey,6.8,64.5,37.8,46.8,274.8,56.0,1.4,Manure
PLT-0604,2026-06-02,B,Ngoma,cotton,Local,clayey,6.33,55.2,33.5,33.9,112.2,41.2,0.75,DAP+Urea
PLT-0605,2026-08-19,A,Huye,tomatoes,Local,clayey,6.18,72.1,60.5,90.4,169.3,65.6,14.84,NPK 17-17-17
PLT-0606,2026-06-25,A,Burera,tomatoes,Improved,sandy,6.34,72.5,54.4,74.5,524.2,38.2,12.97,NPK 17-17-17
PLT-0607,2025-12-26,A,Ngoma,sunflower,Improved,loamy,6.89,30.1,37.4,31.9,286.8,62.2,0.97,Urea
PLT-0608,2025-01-17,C,Muhanga,coffee,Improved,clayey,6.62,56.4,41.6,91.7,537.3,67.1,0.61,NPK 17-17-17
PLT-0609,2025-02-02,C,Muhanga,beans,Climbing,sandy,5.87,38.4,42.1,38.5,145.1,31.7,0.64,DAP+Urea
PLT-0610,2026-03-01,A,Rulindo,wheat,Local,loamy,6.78,75.9,57.4,46.6,115.3,34.6,1.86,DAP+Urea
PLT-0611,2026-02-25,A,Gakenke,sweet_potato,Improved,sandy,5.07,30.0,32.4,66.5,423.0,69.0,2.91,Manure
PLT-0612,2025-08-16,A,Rwamagana,groundnut,Improved,sandy,5.79,21.0,30.1,37.7,222.4,66.0,0.48,Manure
PLT-0613,2025-11-18,C,Muhanga,rice,Zhongeng,loamy,5.7,35.9,15.7,13.4,555.8,49.2,1.62,None
PLT-0614,2026-10-02,C,Gakenke,pea,Local,loamy,5.34,45.3,41.2,36.2,326.9,46.7,1.08,DAP+Urea
PLT-0615,2026-04-05,A,Gatsibo,sugarcane,Local,clayey,5.27,70.9,44.0,63.1,139.7,32.3,28.08,Manure
PLT-0616,2024-07-18,C,Ngoma,sweet_potato,Local,loamy,5.71,28.2,26.3,63.0,288.1,36.4,4.66,Manure
PLT-0617,2026-06-02,C,Kamonyi,rice,Zhongeng,alluvial,5.11,83.5,44.6,36.4,110.2,68.5,3.24,NPK+Manure
PLT-0618,2024-07-11,C,Gakenke,pea,Local,loamy,7.04,37.3,38.5,41.4,358.2,59.7,1.11,NPK+Manure
PLT-0619,2026-12-26,C,Musanze,sweet_potato,Local,loamy,5.73,30.1,29.7,62.2,374.6,39.0,4.49,Urea
PLT-0620,2026-11-23,A,Ngoma,banana,Local,alluvial,5.25,51.5,26.5,137.5,216.2,32.4,5.63,DAP+Urea
PLT-0621,2025-04-16,A,Nyagatare,groundnut,Improved,loamy,5.81,23.2,29.1,30.3,467.4,58.4,0.58,Urea
PLT-0622,2025-05-18,C,Gasabo,beans,Bush,clayey,5.69,32.5,28.9,35.6,164.4,49.7,0.57,DAP+Urea
PLT-0623,2025-12-09,B,Huye,banana,Improved,alluvial,5.55,30.3,13.6,62.5,452.6,53.3,4.45,None
PLT-0624,2025-10-18,A,Gakenke,wheat,Improved,clayey,6.08,70.1,51.3,44.9,149.2,63.9,1.66,NPK+Manure
PLT-0625,2026-10-19,A,Nyagatare,sugarcane,Local,clayey,7.54,101.0,45.9,95.3,415.6,52.2,35.15,NPK 17-17-17
PLT-0626,2026-11-05,A,Gicumbi,irish_potatoes,Kinigi,loamy,6.67,106.9,91.8,111.1,426.1,34.2,8.21,DAP+Urea
PLT-0627,2025-05-15,A,Nyanza,beans,Bush,clayey,5.93,32.0,34.6,33.8,536.2,53.1,0.54,Manure
PLT-0628,2026-04-11,A,Karongi,tea,Improved,loamy,4.05,72.2,45.2,92.4,310.6,41.3,1.26,DAP+Urea
PLT-0629,2026-10-17,B,Rwamagana,sunflower,Local,sandy,6.04,58.4,47.6,51.7,223.8,51.6,1.23,NPK 17-17-17
PLT-0630,2026-04-28,B,Ruhango,banana,Improved,alluvial,5.22,65.8,30.3,138.4,382.5,50.0,4.32,Urea
PLT-0631,2026-03-09,A,Nyanza,corn,Kigega,clayey,7.13,75.2,45.6,39.2,136.5,36.0,1.68,Manure
PLT-0632,2025-04-16,C,Burera,tea,Improved,clayey,5.2,69.6,24.8,59.8,353.3,67.5,1.22,DAP+Urea
PLT-0633,2026-02-03,B,Gakenke,corn,Kigega,clayey,5.34,70.6,44.2,37.8,212.4,48.0,1.57,Manure
PLT-0634,2024-03-24,B,Kamonyi,beans,Climbing,sandy,6.45,32.5,34.8,28.9,252.0,51.5,0.61,Manure
PLT-0635,2026-11-16,B,Nyagatare,banana,Local,alluvial,5.47,87.3,42.0,145.0,250.8,48.2,8.09,DAP+Urea
PLT-0636,2026-09-23,B,Karongi,cassava,Ndamirabana,loamy,6.33,46.7,34.7,85.4,465.4,48.2,13.58,NPK 17-17-17
PLT-0637,2024-05-28,C,Nyarugenge,sweet_potato,Improved,sandy,6.33,43.2,43.2,85.0,161.5,67.9,6.45,NPK+Manure
PLT-0638,2026-05-11,A,Gatsibo,corn,Hybrid WH,clayey,6.25,36.7,21.0,19.3,431.8,60.2,0.69,None
PLT-0639,2026-11-09,B,Gakenke,pea,Improved,clayey,6.68,27.2,37.4,35.3,384.7,60.6,0.83,Urea
PLT-0640,2026-10-14,B,Ngoma,groundnut,Local,sandy,6.98,20.3,32.7,28.4,143.0,65.8,0.54,DAP+Urea
PLT-0641,2024-01-03,A,Gatsibo,sunflower,Improved,sandy,6.24,16.3,16.0,27.9,530.7,42.9,0.4,None
PLT-0642,2024-01-03,B,Kicukiro,soybean,Local,clayey,6.14,22.4,19.0,26.3,149.8,32.3,0.41,None
PLT-0643,2024-09-15,C,Nyanza,tomatoes,Local,sandy,5.57,58.9,38.2,70.9,165.1,35.4,6.25,Urea
PLT-0644,2026-01-09,A,Gatsibo,cassava,Ndamirabana,sandy,7.38,46.5,18.3,65.0,583.5,44.2,8.67,Manure
PLT-0645,2024-02-10,A,Musanze,barley,Improved,clayey,7.81,64.8,46.4,44.7,197.4,52.4,1.4,NPK+Manure
PLT-0646,2026-07-05,B,Gasabo,tomatoes,Local,sandy,7.09,66.8,46.1,55.9,434.7,41.5,7.17,DAP+Urea
PLT-0647,2026-09-19,A,Kayonza,sorghum,Local,loamy,5.61,41.0,32.0,26.9,417.1,36.6,0.75,DAP+Urea
PLT-0648,2024-07-11,C,Kicukiro,sweet_potato,Local,sandy,7.15,13.3,23.1,37.7,574.5,31.3,1.54,None
PLT-0649,2026-06-21,B,Kayonza,groundnut,Local,sandy,6.87,11.2,14.9,12.2,109.1,59.0,0.39,None
PLT-0650,2025-11-14,A,Gisagara,banana,Local,alluvial,6.64,50.7,25.6,110.2,470.7,67.0,5.67,Manure
PLT-0651,2026-07-26,A,Gasabo,tomatoes,Improved,loamy,5.65,76.2,61.3,82.8,269.0,31.6,10.97,NPK+Manure
PLT-0652,2026-02-20,C,Burera,irish_potatoes,Kinigi,clayey,5.11,76.9,74.6,107.0,276.7,37.3,5.5,Urea
PLT-0653,2026-09-10,A,Ngoma,sunflower,Improved,loamy,6.38,46.4,58.5,48.6,341.4,51.8,1.43,NPK+Manure
PLT-0654,2024-12-21,B,Gicumbi,corn,Local,sandy,7.53,39.6,19.6,16.3,230.0,53.6,0.8,None
PLT-0655,2025-02-21,A,Rwamagana,sugarcane,Local,alluvial,6.56,72.7,41.7,55.3,437.5,38.4,26.8,Manure
PLT-0656,2026-07-02,B,Gatsibo,groundnut,Improved,sandy,6.16,28.2,32.2,30.0,320.6,67.5,0.54,Urea
PLT-0657,2026-02-11,B,Gakenke,barley,Local,clayey,6.53,51.9,33.1,31.7,445.5,61.4,1.01,DAP+Urea
PLT-0658,2026-02-07,C,Kamonyi,coffee,Improved,clayey,6.55,55.0,48.0,94.8,500.0,59.9,0.76,NPK+Manure
PLT-0659,2025-08-08,C,Gasabo,soybean,Improved,loamy,5.67,37.0,45.4,43.5,509.0,49.9,0.85,Urea
PLT-0660,2026-11-28,A,Ngoma,beans,Mutiki,sandy,5.26,20.5,20.0,17.5,266.7,63.1,0.25,None
PLT-0661,2024-12-24,B,Musanze,pea,Improved,loamy,6.03,33.2,34.8,37.1,283.0,40.5,0.79,DAP+Urea
PLT-0662,2024-11-13,C,Nyarugenge,soybean,Local,loamy,6.21,45.2,54.7,56.0,217.8,44.5,0.99,NPK+Manure
PLT-0663,2024-09-14,B,Rusizi,irish_potatoes,Cruza,clayey,5.9,98.8,86.7,120.3,269.4,36.5,9.16,NPK+Manure
PLT-0664,2026-01-21,A,Musanze,wheat,Local,loamy,5.14,29.0,15.4,18.4,564.2,69.1,0.39,None
PLT-0665,2025-09-13,B,Rulindo,pea,Improved,loamy,5.85,39.7,44.9,43.7,298.0,48.2,1.16,NPK+Manure
PLT-0666,2026-11-11,C,Musanze,tomatoes,Improved,clayey,6.14,89.5,63.1,75.0,542.5,64.3,11.74,NPK+Manure
PLT-0667,2026-12-14,A,Bugesera,sunflower,Local,loamy,5.6,41.1,36.7,43.9,154.6,33.7,0.81,Urea
PLT-0668,2024-02-14,A,Nyamasheke,beans,Mutiki,clayey,6.43,38.4,47.1,42.4,402.5,55.6,0.84,NPK+Manure
PLT-0669,2024-07-13,A,Bugesera,banana,Improved,loamy,5.82,64.0,33.7,124.2,356.4,51.1,7.92,Manure
PLT-0670,2026-03-12,A,Ngororero,irish_potatoes,Kirundo,clayey,6.28,90.2,72.7,122.8,269.5,48.1,9.35,NPK 17-17-17
PLT-0671,2026-01-11,A,Rulindo,barley,Local,sandy,7.81,37.9,33.5,28.0,193.5,54.8,0.85,Manure
PLT-0672,2024-04-04,B,Ngoma,cotton,Improved,loamy,7.2,51.5,42.9,37.0,138.3,32.4,0.82,Urea
PLT-0673,2025-12-06,C,Kamonyi,sweet_potato,Local,sandy,4.93,33.6,28.9,54.7,138.0,67.3,4.07,Urea
PLT-0674,2026-05-22,B,Kirehe,sorghum,Improved,sandy,6.4,27.1,12.4,17.3,485.0,46.4,0.46,None
PLT-0675,2026-10-06,A,Kicukiro,corn,Kigega,loamy,6.77,74.9,50.7,47.8,422.0,59.2,2.66,NPK 17-17-17
PLT-0676,2025-11-13,A,Kirehe,sugarcane,Improved,loamy,5.12,85.2,35.2,60.7,399.4,42.2,28.53,DAP+Urea
PLT-0677,2026-12-07,A,Nyabihu,coffee,Local,loamy,5.13,50.6,36.4,69.6,596.1,67.0,0.51,DAP+Urea
PLT-0678,2024-09-25,C,Nyarugenge,banana,Local,clayey,7.27,54.3,31.1,99.4,349.1,46.1,4.28,Manure
PLT-0679,2026-10-25,B,Musanze,barley,Local,clayey,6.73,56.2,32.5,31.9,128.1,58.9,0.87,Urea
PLT-0680,2025-04-04,A,Gatsibo,groundnut,Local,loamy,5.99,17.6,19.9,21.8,331.9,55.2,0.32,None
PLT-0681,2025-01-22,B,Gasabo,tomatoes,Improved,loamy,7.5,34.8,29.4,39.7,279.3,46.6,3.58,None
PLT-0682,2024-03-10,A,Kayonza,cotton,Improved,alluvial,7.02,58.0,40.6,43.2,270.8,57.2,0.81,Manure
PLT-0683,2024-10-02,A,Bugesera,sorghum,Improved,sandy,6.28,41.6,29.0,35.0,252.1,44.2,0.83,DAP+Urea
PLT-0684,2026-01-08,C,Ruhango,tomatoes,Improved,sandy,6.25,50.9,55.6,61.4,191.6,57.1,8.65,DAP+Urea
PLT-0685,2025-09-06,A,Kayonza,cotton,Improved,loamy,7.95,60.4,39.9,40.5,311.2,49.0,0.65,Manure
PLT-0686,2024-02-23,C,Rutsiro,tea,Local,clayey,5.29,78.9,36.8,89.2,358.5,46.6,1.65,NPK 17-17-17
PLT-0687,2025-11-03,A,Gakenke,barley,Improved,clayey,6.22,46.9,28.8,29.3,388.9,39.9,0.96,DAP+Urea
PLT-0688,2024-04-09,A,Nyagatare,groundnut,Local,sandy,6.7,30.2,42.8,47.2,455.8,33.7,0.86,NPK 17-17-17
PLT-0689,2025-11-25,B,Rutsiro,tea,Improved,loamy,4.92,86.3,40.9,93.2,238.0,34.8,1.83,NPK+Manure
PLT-0690,2025-05-08,A,Burera,pea,Local,clayey,5.12,36.9,26.2,32.2,282.9,45.0,0.55,Urea
PLT-0691,2026-03-12,C,Rusizi,coffee,Improved,clayey,5.58,51.3,24.2,59.4,110.4,41.8,0.58,Manure
PLT-0692,2026-08-12,C,Rulindo,sweet_potato,Improved,sandy,6.82,40.3,41.5,79.5,346.4,63.1,5.57,NPK+Manure
PLT-0693,2024-03-20,B,Rubavu,banana,Local,clayey,6.55,85.1,45.6,160.2,478.3,43.6,9.99,NPK 17-17-17
PLT-0694,2025-02-22,B,Kayonza,groundnut,Improved,loamy,6.21,27.8,40.9,38.2,280.5,53.2,0.85,NPK 17-17-17
PLT-0695,2025-09-21,B,Musanze,pea,Local,clayey,5.05,12.8,13.8,20.1,221.4,55.1,0.53,None
PLT-0696,2024-07-15,B,Gicumbi,barley,Local,loamy,6.21,62.0,47.4,46.0,568.5,54.9,1.6,DAP+Urea
PLT-0697,2025-06-03,B,Kirehe,sunflower,Improved,sandy,7.78,36.1,32.5,40.9,297.2,41.9,0.93,Manure
PLT-0698,2024-07-17,C,Rubavu,coffee,Improved,clayey,5.24,22.6,18.8,27.0,244.4,43.2,0.28,None
PLT-0699,2025-04-14,B,Nyarugenge,soybean,Improved,loamy,7.37,37.8,40.4,35.9,373.7,57.5,0.53,Urea
PLT-0700,2024-02-03,B,Nyarugenge,tomatoes,Local,loamy,7.33,76.3,63.9,87.9,339.0,68.6,11.55,NPK+Manure
PLT-0701,2024-08-10,B,Nyamagabe,sugarcane,Improved,clayey,5.89,105.4,57.0,81.3,230.1,56.9,43.89,DAP+Urea
PLT-0702,2025-07-22,B,Bugesera,sorghum,Local,loamy,6.5,50.2,37.4,45.9,277.2,54.2,1.11,NPK+Manure
PLT-0703,2024-01-19,A,Ngoma,groundnut,Improved,loamy,5.42,33.1,46.7,45.2,527.3,45.8,0.62,NPK+Manure
PLT-0704,2025-07-05,A,Rulindo,pea,Improved,loamy,5.8,19.7,22.3,19.5,450.4,55.5,0.65,None
PLT-0705,2026-09-01,B,Nyamasheke,tea,Local,loamy,4.32,53.2,30.2,70.0,597.9,41.6,0.78,Manure
